LST_DATE,source_file,RH_DAILY_MAX,RH_DAILY_MIN,RH_DAILY_AVG
57140-03-14,CRND0103-2015-AK_Deadhorse_3_S.txt,94.5,90.8,92.7
57140-03-15,CRND0103-2015-AK_Deadhorse_3_S.txt,96.1,92.5,94.2
57140-03-16,CRND0103-2015-AK_Deadhorse_3_S.txt,96.2,89.8,93.4
57140-03-17,CRND0103-2015-AK_Deadhorse_3_S.txt,94.3,90.9,93.3
57140-03-18,CRND0103-2015-AK_Deadhorse_3_S.txt,93.4,80.6,90.2
57140-03-19,CRND0103-2015-AK_Deadhorse_3_S.txt,92.5,83.2,89
57140-03-20,CRND0103-2015-AK_Deadhorse_3_S.txt,97.1,79.3,89.1
57140-03-21,CRND0103-2015-AK_Deadhorse_3_S.txt,98,90.6,93.4
57140-03-22,CRND0103-2015-AK_Deadhorse_3_S.txt,99.2,88.1,94.2
57140-03-23,CRND0103-2015-AK_Deadhorse_3_S.txt,99.9,95.8,97.5
57140-03-24,CRND0103-2015-AK_Deadhorse_3_S.txt,100,94.1,98
57140-03-25,CRND0103-2015-AK_Deadhorse_3_S.txt,100,85.9,95.3
57140-03-26,CRND0103-2015-AK_Deadhorse_3_S.txt,98.9,94.4,97
57140-03-27,CRND0103-2015-AK_Deadhorse_3_S.txt,98,91.6,94.6
57140-03-28,CRND0103-2015-AK_Deadhorse_3_S.txt,97.3,89.5,92.8
57140-03-29,CRND0103-2015-AK_Deadhorse_3_S.txt,97.2,80.6,90
57140-03-30,CRND0103-2015-AK_Deadhorse_3_S.txt,93,55.9,78.4
57140-03-31,CRND0103-2015-AK_Deadhorse_3_S.txt,96.4,71.2,85.6
57140-04-01,CRND0103-2015-AK_Deadhorse_3_S.txt,94.6,78.1,87.7
57140-04-02,CRND0103-2015-AK_Deadhorse_3_S.txt,99.6,91.3,95.6
57140-04-03,CRND0103-2015-AK_Deadhorse_3_S.txt,99.8,82.1,93.4
57140-04-04,CRND0103-2015-AK_Deadhorse_3_S.txt,99.6,71,86.7
57140-04-05,CRND0103-2015-AK_Deadhorse_3_S.txt,97.3,73.4,83.7
57140-04-06,CRND0103-2015-AK_Deadhorse_3_S.txt,98.9,89,94.2
57140-04-07,CRND0103-2015-AK_Deadhorse_3_S.txt,100,93.5,98.2
57140-04-08,CRND0103-2015-AK_Deadhorse_3_S.txt,100,92,96.7
57140-04-09,CRND0103-2015-AK_Deadhorse_3_S.txt,100,94.5,98.7
57140-04-10,CRND0103-2015-AK_Deadhorse_3_S.txt,100,89.5,95.8
57140-04-11,CRND0103-2015-AK_Deadhorse_3_S.txt,97.4,75,90.9
57140-04-12,CRND0103-2015-AK_Deadhorse_3_S.txt,98.6,90.2,94.8
57140-04-13,CRND0103-2015-AK_Deadhorse_3_S.txt,96.3,72.2,84.6
57140-06-22,CRND0103-2015-AK_Deadhorse_3_S.txt,97,76.8,83.8
57140-06-23,CRND0103-2015-AK_Deadhorse_3_S.txt,98.4,84.3,92.5
57140-06-24,CRND0103-2015-AK_Deadhorse_3_S.txt,94.8,78.3,88.9
57140-06-25,CRND0103-2015-AK_Deadhorse_3_S.txt,98.4,74.8,85.5
57140-06-26,CRND0103-2015-AK_Deadhorse_3_S.txt,99.2,92.7,97
57140-06-27,CRND0103-2015-AK_Deadhorse_3_S.txt,99.8,92.9,97.4
57140-06-28,CRND0103-2015-AK_Deadhorse_3_S.txt,100,75,89.3
57140-06-29,CRND0103-2015-AK_Deadhorse_3_S.txt,98.2,54.9,78.4
57140-06-30,CRND0103-2015-AK_Deadhorse_3_S.txt,99,58.8,80.8
57140-07-01,CRND0103-2015-AK_Deadhorse_3_S.txt,95.4,35.4,73
57140-07-02,CRND0103-2015-AK_Deadhorse_3_S.txt,98.9,53.8,78.2
57140-07-03,CRND0103-2015-AK_Deadhorse_3_S.txt,96,42.6,63.4
57140-07-04,CRND0103-2015-AK_Deadhorse_3_S.txt,91.4,35.6,66
57140-07-05,CRND0103-2015-AK_Deadhorse_3_S.txt,94.1,55.3,75.5
57140-07-06,CRND0103-2015-AK_Deadhorse_3_S.txt,98.2,47.2,80
57140-07-07,CRND0103-2015-AK_Deadhorse_3_S.txt,94.5,46,74.4
57140-07-08,CRND0103-2015-AK_Deadhorse_3_S.txt,93.1,58.2,71.2
57140-07-09,CRND0103-2015-AK_Deadhorse_3_S.txt,99.4,65.6,81.2
57140-07-10,CRND0103-2015-AK_Deadhorse_3_S.txt,100,39.7,78.6
57140-07-11,CRND0103-2015-AK_Deadhorse_3_S.txt,90.2,29.7,62.7
57140-07-12,CRND0103-2015-AK_Deadhorse_3_S.txt,91.2,27.9,62.1
57140-07-13,CRND0103-2015-AK_Deadhorse_3_S.txt,99.5,38.2,65
57140-07-14,CRND0103-2015-AK_Deadhorse_3_S.txt,100,28.3,64.6
57140-07-15,CRND0103-2015-AK_Deadhorse_3_S.txt,92.9,30.1,60.5
57140-07-16,CRND0103-2015-AK_Deadhorse_3_S.txt,97.3,63.9,83.5
57140-07-17,CRND0103-2015-AK_Deadhorse_3_S.txt,93.5,64.4,81.2
57140-07-18,CRND0103-2015-AK_Deadhorse_3_S.txt,98,73.6,84.3
57140-07-19,CRND0103-2015-AK_Deadhorse_3_S.txt,94.6,53.9,72.7
57140-07-20,CRND0103-2015-AK_Deadhorse_3_S.txt,96.4,32.3,61.7
57140-07-21,CRND0103-2015-AK_Deadhorse_3_S.txt,96.7,47.8,72.4
57140-09-30,CRND0103-2015-AK_Deadhorse_3_S.txt,95.8,68.6,83.6
57140-10-01,CRND0103-2015-AK_Deadhorse_3_S.txt,97,51.9,75.6
57140-10-02,CRND0103-2015-AK_Deadhorse_3_S.txt,94.8,71.7,84.2
57140-10-03,CRND0103-2015-AK_Deadhorse_3_S.txt,93.3,58.3,75.4
57140-10-04,CRND0103-2015-AK_Deadhorse_3_S.txt,95.1,50.2,69.5
57140-10-05,CRND0103-2015-AK_Deadhorse_3_S.txt,92.3,42.8,71.7
57140-10-06,CRND0103-2015-AK_Deadhorse_3_S.txt,98.7,65.5,84.5
57140-10-07,CRND0103-2015-AK_Deadhorse_3_S.txt,99.7,78.4,92.5
57140-10-08,CRND0103-2015-AK_Deadhorse_3_S.txt,98.9,78.6,93
57140-10-09,CRND0103-2015-AK_Deadhorse_3_S.txt,100,74.1,88.3
57140-10-10,CRND0103-2015-AK_Deadhorse_3_S.txt,100,77.9,92.3
57140-10-11,CRND0103-2015-AK_Deadhorse_3_S.txt,99.6,89.9,97.5
57140-10-12,CRND0103-2015-AK_Deadhorse_3_S.txt,100,74.9,90.3
57140-10-13,CRND0103-2015-AK_Deadhorse_3_S.txt,100,66.5,84.1
57140-10-14,CRND0103-2015-AK_Deadhorse_3_S.txt,99.7,75,88
57140-10-15,CRND0103-2015-AK_Deadhorse_3_S.txt,99.9,81,93.9
57140-10-16,CRND0103-2015-AK_Deadhorse_3_S.txt,100,66.8,88.7
57140-10-17,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57140-10-18,CRND0103-2015-AK_Deadhorse_3_S.txt,98.8,73.8,89.2
57140-10-19,CRND0103-2015-AK_Deadhorse_3_S.txt,99.6,85.3,96.5
57140-10-20,CRND0103-2015-AK_Deadhorse_3_S.txt,100,70.7,90.6
57140-10-21,CRND0103-2015-AK_Deadhorse_3_S.txt,99.7,79.7,92.3
57140-10-22,CRND0103-2015-AK_Deadhorse_3_S.txt,100,85.9,95.6
57140-10-23,CRND0103-2015-AK_Deadhorse_3_S.txt,100,69.7,87.7
